         53412031 function calls (52113818 primitive calls) in 434.365 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.049    0.049 context.py:1(<module>)
      466    0.006    0.000    0.048    0.000 deprecation.py:9(wrap)
9743/9739    0.036    0.000    0.047    0.000 {method 'join' of 'str' objects}
      802    0.020    0.000    0.047    0.000 inspect.py:2786(__init__)
     2059    0.015    0.000    0.047    0.000 ode.py:60(no_oxidizer_energy)
       64    0.002    0.000    0.047    0.001 rcsetup.py:106(<listcomp>)
     5015    0.030    0.000    0.047    0.000 sre_parse.py:254(get)
    14228    0.046    0.000    0.046    0.000 {method 'issubset' of 'set' objects}
        1    0.000    0.000    0.046    0.046 minimize_trustregion_constr.py:1(<module>)
     1448    0.014    0.000    0.046    0.000 re.py:188(match)
  104/101    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1106(create_module)
      239    0.003    0.000    0.046    0.000 rcsetup.py:353(validate_color_for_prop_cycle)
        1    0.000    0.000    0.045    0.045 reduction.py:10(<module>)
      740    0.008    0.000    0.045    0.000 base.py:235(__call__)
  104/101    0.032    0.000    0.044    0.000 {built-in method _imp.create_dynamic}
    13964    0.043    0.000    0.043    0.000 injector.py:20(computeDerivatives)
    13964    0.043    0.000    0.043    0.000 environment.py:22(computeDerivatives)
